NPI_1,NPI_2,count
1003003153,1578673372,23        
1003003153,1629037957,20        
1003003153,1942298161,35        
1003009283,1003138256,26        
1003009283,1023135266,91        
1003009283,1063687234,93        
1003009283,1063790665,64        
1003009283,1073891800,29        
1003009283,1104104025,75        
1003009283,1104116862,78        
1003009283,1134362387,40        
1003009283,1154329324,57        
1003009283,1174674006,29        
1003009283,1215162953,50        
1003009283,1215939905,26        
1003009283,1235549932,30        
1003009283,1245237262,46        
1003009283,1316909419,59        
1003009283,1366461097,27        
1003009283,1427089663,63        
1003009283,1437150976,25        
1003009283,1437360740,34        
1003009283,1477593366,46        
1003009283,1548206733,59        
1003009283,1588858070,54        
1003009283,1669426243,30        
1003009283,1689615692,38        
1003009283,1790090611,80        
1003009283,1811928625,22        
1003009283,1851377030,112       
1003009283,1851562946,56        
1003009283,1881686145,34        
1003009283,1891811311,35        
1003009283,1902198096,66        
1003009283,1952591711,57        
1003009283,1972932986,22        
1003009283,1992706436,88        
1003028705,1558559476,56        
1003028705,1588862098,39        
1003028705,1609862390,50        
1003028705,1942209044,20        
1003033671,1124230685,92        
1003037037,1912080946,50        
1003046426,1083656136,20        
1003046426,1194834267,51        
1003046426,1215969878,36        
1003046426,1548691736,182       
1003046426,1619930914,22        
1003046426,1710923545,29        
1003047796,1053461145,21        
1003047796,1205986312,88        
1003047796,1578593703,43        
1003047796,1639275720,24        
1003047796,1750303681,42        
1003047796,1801099791,48        
1003047796,1801129283,35        
1003047796,1821143595,58        
1003047796,1841458676,22        
1003050071,1184669525,19        
1003050071,1467460923,24        
1003050071,1750546537,12        
1003050071,1801086897,75        
1003057381,1275542532,36        
1003057381,1649431909,23        
1003057381,1730199225,71        
1003057381,1790948974,40        
1003066432,1003937947,96        
1003066432,1104842103,154       
1003066432,1164463378,120       
1003066432,1417048893,82        
1003066432,1578599445,35        
1003066432,1639270812,111       
1003066432,1821183856,175       
1003075300,1063437028,39        
1003075300,1255352829,23        
1003076233,1003130030,28        
1003076233,1023103033,44        
1003076233,1043534076,40        
1003076233,1063732782,47        
1003076233,1083654313,80        
1003076233,1104054543,17        
1003076233,1134169683,27        
1003076233,1154339539,24        
1003076233,1174648703,45        
1003076233,1184780728,29        
1003076233,1205918208,73        
1003076233,1205949195,45        
1003076233,1235290305,24        
1003076233,1245378447,80        
1003076233,1255365839,100       
1003076233,1255504882,50        
1003076233,1275618720,93        
1003076233,1316904568,37        
1003076233,1316994288,112       
1003076233,1326056771,22        
1003076233,1326122268,40        
1003076233,1326138348,34        
